person_nid,person_title,person_round,person_house,country_nid,country_title,person_firstname,person_lastname,person_firstname_local,person_lastname_local,person_bday,person_gender,person_born_abroad,person_birthplace,person_birthcountry,person_marital_stat,person_numchild,person_occupation_1,person_occupation_2,person_occupation_3,person_family_clan_link,person_family_clan_name,person_family_clan_nam_rel,person_lang_native_nid,person_lang_native_title,person_lang_native_rel,person_lang_native_other,person_lang_spoken_nid,person_lang_spoken_title,person_lang_spoken_other,person_lang_english,person_lang_french,person_lang_arabic,person_lang_spanish,person_lang_chinese,person_lang_german,person_lang_russian,person_lang_portuguese,person_lang_other,person_lang_all_count,person_unv_name_1,person_unv_name_2,person_unv_name_3,person_ug_major_all,person_ug_major_1,person_ug_major_2,person_ug_major_3,person_education,person_college_country,person_abroad,person_eduwest,person_course_of_study,person_notes,person_aff_party_nid,person_aff_party,person_party_aff_nonpartisan,person_party_aff_power,person_party_aff_position,prsn_prty_aff_position_local,prsn_prty_aff_coalition_differ,person_party_aff_pol_exp,person_office_type_1,person_office_position_1,person_office_minposarea_1,person_office_minposarea_lo,person_office_service_began_1,prsn_office_srvc_bgn_cabi_1,person_office_terms_1,person_office_pm_participate_1,person_office_howmanydays_1,prsn_office_hwmnydys_miss_1,prsn_office_cnsttncy_nid_1,prsn_office_cnsttncy_title_1,person_office_type_2,person_office_position_2,person_office_minposarea_2,person_office_service_began_2,prsn_office_srvc_bgn_cabi_2,person_office_terms_2,person_office_pm_participate_2,person_office_howmanydays_2,prsn_office_hwmnydys_miss_2,prsn_office_cnsttncy_nid__2,prsn_office_cnsttncy_title_2,person_office_type_3,person_office_position_3,person_office_minposarea_3,person_office_service_began_3,prsn_office_srvc_bgn_cabi_3,person_office_terms_3,person_office_pm_participate_3,person_office_howmanydays_3,prsn_office_hwmnydys_miss_3,prsn_office_cnsttncy_nid_3,prsn_office_cnsttncy_title_3,terms,startReign
103065,Nursultan A.Nazarbayev,"1,2",,5769,Kazakhstan,Nursultan,A.Nazarbayev,,,1940-01-01,Male,0.0,Chemolgan,,Married,3.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Other,Landlord,,,,103054,Kazakh,,,103055,Russian,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,economics / business / management|engineering,economics / business / management,engineering,,Ph.D.,,0.0,0.0,economics,,103037,Nur-Otan,No,Apex,Party Leader,Лидер партии,,,Executive,President of Kazakhstan,,,2005-01-01,,4,,,,0,,Party leader,Party leader ,,,,0,,,,0,,,,,,,0,,,,0,,4,2005-01-01
138385,Isatou Njie-Saidy,1,,9879,Gambia,Isatou,Njie-Saidy,,,1952-05-05,Female,0.0,"Kuntaya, North Bank District",,Married,4.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,134811,Fulah,,,"134807,134811,134809",English|Fulah|Wolof,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,,,10805,United Democratic Party,No,Top ten,,,,Previous Minister,"Cabinet, Minister",,,Women's Affairs,2012-01-01,,3,,,,0,,Executive,Vice-President,,2011-01-01,,4,,,,0,,,,,,,0,,,,0,,4,2011-01-01
5700,Abdilakim Ademi,1,,4812,Macedonia,Abdilakim,Ademi,,,1962-12-20,Male,,Jegunovce,,Married,1.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,5202,Albanian,,,"5590,5204",Dutch; Flemish|Romany,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,engineering,engineering,,,University / college,,1.0,1.0,,,5653,Democratic Union for Integration (DUI),No,No,Member of the Central Committee of the Party (DUI),Chlen na Centralen Odbor na Demokratskata Unija za Integracija,Yes,Political movement,Executive,Deputy Prime Minister for implementation of the Ohrid Framework Agreement,,,2006-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2006-01-01
36087,Paul Biya,"1,2",,34948,Cameroon,Paul,Biya,,,1933-01-01,Male,0.0,Mvomeka'a in the South region,,Married,3.0,Employed: other white-collar worker,,,,,,,Bulu (Boulou),,Bulu (Boulou),"36042,36041",English|French,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,Political Studies,Paul Biya is the President of the Republic of Cameroon since 1982.,34953,Cameroon People's Democratic Movement (CPDM) (153 seats in the National Assembly),No,Apex,National President,,,Party organization/administration,Executive,President of the Republic,,,1982-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,1982-01-01
70686,Petr Nečas,1,,68452,Czech Republic,Petr,Nečas,,,1964-01-01,Male,0.0,Uherském Hradišti,,Married,4.0,Employed: top management / director / CEO,Employed: other white-collar worker,,,,,,,,,,,,,,,,,,,,,0,,,,biology / chemistry / physics,biology / chemistry / physics,,,Ph.D.,,0.0,1.0,,"Notes by an independent PA consultant

he is not the strongest man in the party. In fact, he is very weak. ODS has suffered from an internal split in several ways there's a Klaus-loyal faction, former PM Topolanek faction although he does not hold any party or public position now, both of which dislike each other but also dislike Necas;s faction (as represented by the current leadership after 21st congress). Further, several of the local chapters have resisted central ODS's steering, such as Prague (which is currently cooperating but this will not last too long), Brno, South Bohemia.

Closest Necas's adviser and ally is Alexandr Vondra, defense minister, former EU minister in Topolanek's government. He has traditionally acted as the link to the US interests in the country. He joined politics back before the revolution, closely cooperating with Vaclav Havel, whose foreign-policy adviser he became later. 1997-2001 he served as the ambassador to the US. Within ODS, he supported Topolanek first (against Vaclav Klaus - note that Havel and Klaus have traditionally disliked each other). After the collapse of the government in 2009 and an internal crisis he dumped Topolanek and is with Necas since 2010.

The strongest minister in the current government is Miroslav Kalousek, finance minister, deputy chairman/de facto leader of TOP 09.
- also formerly at the defense ministry, which his former party KDU-CSL has traditionally controlled until the last election round in 2010
- his good friend is Richard Hava, whose children control his arms dealer company Omnipol. Hava's interests are, however, much wider, including Czech Forests,energy (CEZ and gas-fired Uzin plant, lately- photovoltaic), and decontamination of old environmental damages (note that the finance minister devised a gigantic single tender for all the clean-up works in 2008, which he then had to abandon for now).
















Curriculum Vitae
kniha
Petr NeÄas â€“ Curriculum Vitae

    * Born on 19th November 1964 in UherskÃ© HradiÅ¡tÄ›, the Czech Republic
    * married to Radka NeÄasovÃ¡, 4 children (OndÅ™ej, TomÃ¡Å¡, Tereza and Marie)
    * active knowledge of English

1988	graduated in Physical Science at the Faculty of Science of the University of J.E. PurkynÄ› in Brno
1988	Post-gradual doctoral degree in Natural Sciences
1988 - 1989	compulsory military service in ProstÄ›jov
1988 - 1992	Mr NeÄas worked as a production engineer and research worker in Tesla RoÅ¾nov Company
1991	member of the District Council of the ODS in VsetÃ­n
1992 - 1996	member of the Parliament of the Czech Republic:
- member of the Foreign Affairs Committee focused on NATO and Defence issues
- leader of the Permanent Delegation to Inter-parliamentary Union and a Delegation to the Western European Union Assembly
1995 â€“ 1996	first Deputy Minister of Defence
1996 â€“ 1998	member of the Parliament of the Czech Republic:
- member of the Steering Committee
- chairman of the Committee for Defence and Security
- member of the Subcommittee for Intelligent Services (97-98)
- Deputy Chairman of the Joint Committee of the EP and the Czech Parliament
- member of the Permanent Commission on the Control of Military Intelligence
1998	appointed a Shadow Minister of Defence of the ODS
1998 â€“ 2002	member of the Parliament of the Czech Republic
- First Deputy Chairman of the ODS Group (98-00)
- member of the Steering Committee
- chairman of the Committee for Defence and Security
- member of the Subcommittee for Intelligent Services
- member of the Delegation to the Western European Union Assembly
- member of the Delegation to the Parliamentary Assembly of the NATO
2002 â€“ 2006	member of the Parliament of the Czech Republic
- Deputy Chairman of the European Affairs Committee
- Member of the Permanent Commission for the Family and Equal Opportunities
- member of a Delegation to the Western European Union Assembly
- member of the Delegation to the Parliamentary Assembly of the NATO
2006 â€“ 2010	member of the Parliament of the Czech Republic
- member of the Committee for Social Policy (09-10)
2006 â€“ 2009	Deputy Prime Minister and Minister of Labour and Social Affairs
From 1999 to 06/2010	Deputy Chairman of the ODS
Since April 2010	Leader of the ODS for the 2010 Parliamentary Election, a Candidate for the Prime Minister of the Czech Republic and acting Deputy Chairman of the ODS
Since 20th June 2010	ODS Party Leader
Since 28th June 2010	Prime Minister of the Czech Republic",70601,Civic Democratic Party- ODS,No,Apex,Chairman,předsedou strany.,,Previous Minister,Executive,Prime Minister,,,2010-01-01,,4,,,,0,,Member of Parliament,,,2010-01-01,,6,,,,0,,Party leader,Chairman,,2010-01-01,,0,,,,0,,4,2010-01-01
108335,Nicos ANASTASIADES,"1,2",Lower House,74287,Cyprus,Nicos,ANASTASIADES,,,1946-01-01,Male,0.0,"Perapedhi,Limassol",Cyprus,Married,2.0,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)","Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,85317,Greek,Assumed,,85317,Greek,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,Law,"He is a member of the Cyprus National Council since 1995. 
He was being elected Member of the House of Representatives from 1981 until his election to the Presidency of the Republic. During his lengthy term he has served the Parliament as Chairman of the Committee on Foreign Affairs, Chairman of the Committee on Educational Affairs, Chairman of the Inter-Parliamentary Committee on Foreign Affairs until 2006 as well as Vice-Chairman and member of many other Committees. He has also been elected Vice President of the House of Representatives for the years 1996-2001 and he has served as Parliamentary Spokesman of the Democratic Rally. 
You can find his CV here :http://www.parliament.cy/parliamenteng/index.htm 
Sources: http://www.presidency.gov.cy/presidency/presidency.nsf/prc01_en/prc01_en?OpenDocument  
               http://www2.parliament.cy/parliamenteng/003_02_biography/anastasiadis.htm",85320,Democratic Rally of Cyprus (DI.SY.),No,Top ten,President,,No,Party organization/administration,Executive,President,,,2018-01-01,,4,,,,0,,Member of Parliament,PRESIDENT OF THE DEMOCRATIC RALLY PARTY (DI.SY.),,1997-01-01,,2,,,,0,,,President of cyprus,,2016-01-01,,0,,,,0,,4,2018-01-01
25446,Seyed Reza Akrami,1,,6470,"Iran, Islamic Republic of",Seyed Reza,Akrami,,,1941-01-01,Male,0.0,Semnan,,Married,,,,,,,,9202,Persian,,,9220,Arabic,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,other,other,,,"Higher education, non university",,0.0,0.0,,http://fa.wikipedia.org/wiki/???_???_?????,8203,Association of Combatant Clerics (Militant Clerics Society),No,No,Member of the Central Council,Ozviat dar Shorai Markazi,,Party organization/administration,Executive,The consultant of foreign minister ,,,2015-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2015-01-01
96584,Braima Camara,1,,78014,Guinea-Bissau,Braima,Camara,,,1967-03-22,Male,0.0,Geba,,Married,4.0,Self-employed: small businessman,,,,,,,Mandinga,Assumed,Mandinga,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,,,,,,,,Secondary,,0.0,0.0,,This man reached the top of the Private Sector even though he does not have a degree.,79311,African Party for the Independence of Guinea and Cape Verde,Yes,No,Member of Bureau Politique,Member of the Political Commission of Zone,No,National trade union,Executive,Chairman of the Chamber of Commerce,,,2008-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2008-01-01
22755,Recep Tayyip Erdogan,"1,2",,608,Turkey,Recep Tayyip,Erdogan,,,1954-01-01,Male,0.0,Istanbul,Turkey,Married,4.0,Self-employed: small businessman,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,618,Turkish,Assumed,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,economics / business / management,economics / business / management,,,University / college,,0.0,0.0,,"Official Website of National Assembly
https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=23&p_sicil=6371",619,Justice and Development Party,No,Apex,Chairman,Baskan,No,Party organization/administration,Executive,President of Turkey,,,2014-01-01,,4,,,,258520,ISTANBUL,Party leader,Chairman,,2001-01-01,,0,,,,0,,Member of Parliament,Leader,,2001-01-01,,4,,,,0,,4,2014-01-01
110080,Borut Pahor,"1,2",,107856,Slovenia,Borut,Pahor,,,1963-01-01,Male,0.0,Postojna,Slovenia,Single,1.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,109508,Slovenian,,,"109511,109512",Croatian|Serbian,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,social sciences,social sciences,,,University / college,,0.0,1.0,,http://www.borutpahor.si/o-meni/,109514,Social Democrats,No,Top ten,member,član,,Supra-national other interest group,Executive,President of the Republic of Slovenia,,,2012-01-01,,4,,,,0,,Party leader,President,,2008-01-01,,0,,,,0,,,,,,,0,,,,0,,4,2012-01-01
110508,Gordon Darcy Lilo,1,,109168,Solomon Islands,Gordon Darcy,Lilo,,,1965-01-01,Male,,"Kukundu, Western Province",,Married,8.0,Employed: top management / director / CEO,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Other,,,,109236,Other|Duku,,Duku,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,1.0,0.0,Masters of Development and Administration,,109196,Solomon Islands Party for Rural Advanchment,No,Apex,Vice President,,No,Political advisor,Executive,,,,2011-01-01,,4,,,,0,,Member of Parliament,,,2001-01-01,,3,,,,0,,,,,,,0,,,,0,,4,2011-01-01
76530,Jean-Claude Juncker,1,,69565,Luxembourg,Jean-Claude,Juncker,,,1954-01-01,Male,0.0,Redange-sur-Attert,,Married,,No (previous) occupation (including unemployed),,,,Juncker,,77264,"Luxembourgish; Letzeburgesch|Luxembourgish, German, French",,"Luxembourgish, German, French","77266,77265",French|Portuguese,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,,,,law,law,,,University / college,,1.0,1.0,,http://www.gouvernement.lu/gouvernement/premier-ministre/en/index.html,69566,Christian Social Peoples' Party,No,Apex,,,No,,Executive,Prime minister,,,2009-01-01,,3,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,3,2009-01-01
122625,Paul Kagame,1,,69327,Rwanda,Paul,Kagame,,,1957-01-01,Male,0.0,"Ruhango, Gitarama",,Married,4.0,Military official,,,,Abega clan,Assumed,121682,Kinyarwanda,Assumed,,"121683,121686",English|Swahili,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,other,other,,,Secondary,,1.0,1.0,Business & Administration Management,,121687,Rwandan Patriotic Front (RPF-Inkotanyi),No,Apex,Chairman,,No,Party organization/administration,Executive,President,,,2017-01-01,,3,,,,0,,Party leader,President,,2000-01-01,,0,,,,0,,,,,,,0,,,,0,,3,2017-01-01
18460,Paolo Gentiloni Silveri,"1,2",Lower House,10220,Italy,Paolo,Gentiloni Silveri,,,1954-01-01,Male,0.0,"Roma, Roma",Italy,Married,0.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,109734,Italian|Italian,,Italian,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,,,,social sciences,social sciences,,,University / college,,,,Political Science,,10387,Democratic Party,No,No,Communication handler,Responsabile della comunicazione del partito,No,Party organization/administration,Executive,Presidente del Consiglio dei ministri della Repubblica Italiana (Primo Ministro),,,2001-01-01,,3,,,,254939,LAZIO 1,,,,,,0,,,,0,,,,,,,0,,,,0,,3,2001-01-01
130811,Omar Hassan Al-Bashir,"1,2",,129561,Sudan,Omar Hassan,Al-Bashir,,,1944-01-01,Male,0.0,"Hosh Banaga, River Nile State",Sudan,Married,,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Military official,,,Ja'aliyyin,Assumed,130820,Arabic,Assumed,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,military,military,,,University / college,,,,,"I have some more information regarding Al-Bashir's other education, his positions prior to his Presidency, and his tribal background, birthplace, and family background.  However, there were not slots for me to input the information.",130806,National Congress Party (formerly National Islamic Front),No,Apex,Chairman,,No,,Executive,President,,,1993-01-01,,3,,,,0,,Party leader,Chairman of the Revolutionary Command Council,,1989-01-01,,1,,,,0,,,,,,,0,,,,0,,3,1993-01-01
129228,Emomali Rahmon,"1,2",,128803,Tajikistan,Emomali,Rahmon,,,1952-01-01,Male,0.0,Dangara district,Tajikistan,Married,9.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,128816,Tajik,,,128817,Russian,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,University / college,,0.0,0.0,,"Official Webpage of Tajik Government, http://www.president.tj/en/taxonomy/term/5/33",128804,People's Democratic Party of Tajikistan,No,Apex,Chairman,,,,Executive,President,,,2013-01-01,,3,,,,0,,Party leader,Chairman of the People's Democratic Party of Tajikistan,,1998-01-01,,0,,,,0,,,,,,,0,,,,0,,3,2013-01-01
